,source,model,image,description,url,price,height,width,depth,sit_depth,sit_width,sit_height,legs,SKU,sleep,clearance,max_depth,width_i
12,sofacompany,Vera,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/0/7/078802059010_Front_1.jpg,,https://no.sofacompany.com/vera-2-seater-sofa-vega-sand-dune-oak-a-17-cm-078802059010,7499 NOK,78cm,169cm,94cm,61cm,140cm,43cm,"Oak, A, 17 cm",078802059010,n,17,,169
13,sofacompany,Vera,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/0/7/078802177122_vera_2seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/vera-2-seater-sofa-olena-light-grey-oak-soap-a-17-cm-078802177122,7499 NOK,78cm,169cm,94cm,61cm,140cm,43cm,"Oak Soap, A, 17 cm",078802177122,n,17,,169
14,sofacompany,Vera,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/0/7/078802178122_vera_2seater_1760x880grey_low_v1.jpg,,https://no.sofacompany.com/vera-2-seater-sofa-olena-midnight-blue-oak-soap-a-17-cm-078802178122,7499 NOK,78cm,169cm,94cm,61cm,140cm,43cm,"Oak Soap, A, 17 cm",078802178122,n,17,,169
15,sofacompany,Harry,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/0/8/084002040040_Front_2.jpg,,https://no.sofacompany.com/harry-2-seater-sofa-andie-antracit-walnut-a-25-cm-084002040040,5499 NOK,74cm,155cm,80cm,55cm,127cm,40cm,"Walnut, A, 25 cm",084002040040,n,25,,155
16,sofacompany,Johan,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/0/7/074803116008_Front_1.jpg,,https://no.sofacompany.com/johan-3-seater-sofa-leather-bronze-smoked-oak-e-17-cm-074803116008,19999 NOK,82cm,202cm,93cm,59cm,178cm,43cm,"Smoked Oak, E, 17 cm",074803116008,n,17,,202
17,sofacompany,Alex,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/4/140112116185_Front_1.jpg,,https://no.sofacompany.com/alex-daybed-bench-leather-bronze-smoked-oak-a-24-cm-round-140112116185,7599 NOK,45cm,160cm,52cm,,,,"Smoked Oak, A, 24 cm, Round",140112116185,n,,,160
18,sofacompany,Nelson,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/5/150307177164_nelson_3seater_1760x880grey_v1_2.jpg,,https://no.sofacompany.com/nelson-cornersofa-olena-light-grey-oak-b-16-cm-150307177016,14999 NOK,81cm,264cm,93cm,56cm,227cm,44cm,"Oak, B, 16 cm",150307177016,n,16,198.0,264
19,sofacompany,Nelson,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/5/150307184164_Angle_1.jpg,,https://no.sofacompany.com/nelson-cornersofa-olena-antracit-oak-soap-b-16-cm-150307184164,14999 NOK,81cm,264cm,93cm,56cm,227cm,44cm,"Oak Soap, B, 16 cm",150307184164,n,16,198.0,264
20,sofacompany,Douglas,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/9/190704204216_douglas_4seater_1760x880grey_v1_1.jpg,,https://no.sofacompany.com/douglas-4-seater-sofa-sorrento-steel-blue-oak-soap-e-10-cm-190804204216,12999 NOK,86cm,302cm,97cm,60cm,270cm,43cm,"Oak Soap, E, 10 cm",190804204216,n,10,,302
21,sofacompany,Randi,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/5/154512153139_Front_1.jpg,,https://no.sofacompany.com/randi-daybed-bench-talent-cool-grey-smoked-oak-e-27-cm-154512153139,3999 NOK,46cm,162cm,53cm,,,,"Smoked Oak, E, 27 cm",154512153139,n,27,,162
